Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,1N4AZ0CPXDC402119,PAS,FLUSHING       ,NY,11365,QUEENS      ,2013,NISSA,4DSD,ELECTRIC,3291,,,07/25/2018,07/24/2020,WH   ,N,N,N
VEH ,1N4AZ0CPXDC400581,PAS,MELVILLE       ,NY,11747,SUFFOLK     ,2013,NISSA,4DSD,ELECTRIC,3256,,,02/07/2017,03/18/2019,GY   ,N,N,N
VEH ,1G9AE43G3HA493142,PAS,TROY           ,NY,12180,RENSSELAER  ,2017,MEVH ,SUBN,ELECTRIC,2078,,,04/20/2018,04/30/2020,WH   ,N,N,N
VEH ,1G8ZJ52702Z200042,PAS,WILMINGTON     ,NC,28411,ONONDAGA    ,2002,SATUR,4DSD,ELECTRIC,2360,,,08/12/2018,08/18/2020,GY   ,N,N,N
VEH ,1G6RM1E46GU102129,PAS,BAY SHORE      ,NY,11706,SUFFOLK     ,2016,CADIL,2DSD,ELECTRIC,4013,,,07/24/2017,06/11/2019,BK   ,N,N,N
VEH ,1G1RH6E44DU139702,PAS,OWEGO          ,NY,13827,TIOGA       ,2013,CHEVR,4DSD,ELECTRIC,3735,,,08/17/2017,08/02/2019,RD   ,N,N,N
VEH ,1G1RE6E45DU129883,PAS,GLENDALE       ,NY,11385,QUEENS      ,2013,CHEVR,4DSD,ELECTRIC,3735,,,04/15/2018,05/24/2020,BL   ,N,N,N
VEH ,1G1RD6S58HU184897,PAS,CANANDAIGUA    ,NY,14424,ONTARIO     ,2017,CHEVR,4DSD,ELECTRIC,3539,,,03/14/2017,03/13/2019,RD   ,N,N,N
VEH ,1G1RD6S57HU131057,PAS,STATEN ISLAND  ,NY,10314,RICHMOND    ,2017,CHEVR,4DSD,ELECTRIC,3521,,,01/26/2018,03/05/2020,BL   ,N,N,N
VEH ,1G1RD6S54HU217085,PAS,NEW WINDSOR    ,NY,12553,ORANGE      ,2017,CHEVR,4DSD,ELECTRIC,3523,,,11/24/2017,11/23/2019,WH   ,N,N,N
VEH ,1G1RD6S52HU180229,PAS,WAPPINGERS FLS ,NY,12590,DUTCHESS    ,2017,CHEVR,4DSD,ELECTRIC,3537,,,12/21/2017,02/15/2020,BK   ,N,N,N
VEH ,1G1RD6S5XHU188823,PAS,CANANDAIGUA    ,NY,14424,ONTARIO     ,2017,CHEVR,4DSD,ELECTRIC,3546,,,12/22/2017,10/31/2019,WH   ,N,N,N
VEH ,1G1RD6E48BU101429,PAS,CLIFTON SPRING ,NY,14432,ONTARIO     ,2011,CHEVR,4DSD,ELECTRIC,3726,,,04/26/2018,04/25/2020,GY   ,N,N,N
VEH ,1G1RD6E47BU102667,PAS,WEBSTER        ,NY,14580,MONROE      ,2011,CHEVR,4DSD,ELECTRIC,3727,,,04/10/2018,06/24/2020,RD   ,N,N,N
VEH ,1G1RD6E42CU115151,PAS,PEARL RIVER    ,NY,10965,ROCKLAND    ,2012,CHEVR,4DSD,ELECTRIC,3708,,,12/04/2017,04/06/2019,RD   ,N,N,N
VEH ,1G1RD6E41CU118445,PAS,CLARENCE       ,NY,14031,ERIE        ,2012,CHEVR,4DSD,ELECTRIC,3738,,,01/26/2018,01/22/2020,GY   ,N,N,N
VEH ,1G1RD6E41BU101384,PAS,SHIRLEY        ,NY,11967,SUFFOLK     ,2011,CHEVR,4DSD,ELECTRIC,3737,,,02/27/2018,02/21/2020,RD   ,N,N,N
VEH ,1G1RD6E40CU110577,PAS,WEST COXSACKIE ,NY,12192,GREENE      ,2012,CHEVR,4DSD,ELECTRIC,3708,,,04/17/2017,04/08/2019,BL   ,N,N,N
VEH ,1G1RD6E40CU101071,PAS,ALTAMONT       ,NY,12009,ALBANY      ,2012,CHEVR,4DSD,ELECTRIC,3781,,,10/03/2017,09/26/2019,GY   ,N,N,N
VEH ,1G1RD6E4XCU109985,PAS,PEARL RIVER    ,NY,10965,ROCKLAND    ,2012,CHEVR,4DSD,ELECTRIC,3707,,,08/21/2017,04/03/2019,BK   ,N,N,N
VEH ,1G1RD6E4XCU100882,PAS,HENRIETTA      ,NY,14467,MONROE      ,2012,CHEVR,4DSD,ELECTRIC,3711,,,01/27/2017,03/13/2019,GR   ,N,N,N
